路線,路線名稱,方向,站序,中文站點名稱,英文站點名稱,經度,緯度
綠1,松竹旱溪西路口 - 仁友停車場,去程,44,捷運豐樂公園站(文心南路),MRT Feng-Le Park Station(Wenxin S. Road),120.6462781,24.13182985
綠1,松竹旱溪西路口 - 仁友停車場,去程,45,豐樂公園,Fengle Sculpture Park,120.646268,24.130134
綠1,松竹旱溪西路口 - 仁友停車場,去程,46,文心南三民西路口,Wenxin S.-Sanmin W. Intersection,120.646183,24.126802
綠1,松竹旱溪西路口 - 仁友停車場,去程,47,中山醫學大學,Chung Shan Medical University,120.649095,24.12164311
綠1,松竹旱溪西路口 - 仁友停車場,去程,48,捷運大慶站(建國北路),MRT Daqing Station(Jianguo N. Road),120.647586,24.119179
綠1,松竹旱溪西路口 - 仁友停車場,去程,49,捷運九張犁站,MRT Jiuzhangli Station,120.640381,24.114824
綠1,松竹旱溪西路口 - 仁友停車場,去程,50,捷運九德站,MRT Jiude Station,120.634291,24.111018
綠1,松竹旱溪西路口 - 仁友停車場,去程,51,建國永春東三南路口,Jianguo Yongchun E. 3rd S. Intersection,120.630125,24.109354
綠1,松竹旱溪西路口 - 仁友停車場,去程,52,建國民生街口,Jianguo-Minsheng Intersection,120.628399,24.10891
綠1,松竹旱溪西路口 - 仁友停車場,去程,53,捷運烏日站,MRT Wuri Station,120.625144,24.108965
綠1,松竹旱溪西路口 - 仁友停車場,去程,54,高鐵臺中站(第16月台),HSR Taichung Station(Platform 16),120.615897,24.111169
綠1,松竹旱溪西路口 - 仁友停車場,去程,55,捷運高鐵臺中站（2號出口）,MRT HSR Taichung Station(Exit 2),120.613369,24.110416
綠1,松竹旱溪西路口 - 仁友停車場,去程,56,高鐵一路,Gaotie 1st Road,120.609877,24.111403
綠1,松竹旱溪西路口 - 仁友停車場,去程,57,高鐵學田路口,Gaotie-Xuetian Intersection,120.608125,24.113223
綠1,松竹旱溪西路口 - 仁友停車場,去程,58,幸記公司,Lucky Company,120.608034,24.117889
綠1,松竹旱溪西路口 - 仁友停車場,去程,59,學田診所,Xuetian Clinic,120.607771,24.120435
綠1,松竹旱溪西路口 - 仁友停車場,去程,60,學田活動中心,Xuetian Actirity Center,120.607269,24.122379
綠1,松竹旱溪西路口 - 仁友停車場,去程,61,烏日學田里,Wuri Xuetian Village,120.60695,24.124418
綠1,松竹旱溪西路口 - 仁友停車場,去程,62,成功嶺3號門,Chenggongling 3rd Gate,120.607469,24.126438
綠1,松竹旱溪西路口 - 仁友停車場,去程,63,同安南北巷口,Tongan-Nanbei Lane,120.609109,24.129194
綠1,松竹旱溪西路口 - 仁友停車場,去程,64,南屯同安厝,Nantun Tong'ancuo,120.60991,24.13077
綠1,松竹旱溪西路口 - 仁友停車場,去程,65,彩虹眷村(嶺東南路),Rainbow Village(Lingdong S. Road),120.6103778,24.13403989
