路線,路線名稱,方向,站序,中文站點名稱,英文站點名稱,經度,緯度
52,忠明進化建成線,回程,12,干城站,Gancheng Station,120.685758,24.140969
52,忠明進化建成線,回程,13,臺中車站(大智北路),Taichung Station(Dazhi North Road),120.687651,24.137282
52,忠明進化建成線,回程,14,新時代購物中心,Mode Mall,120.6880391,24.13599088
52,忠明進化建成線,回程,15,大智忠孝路口,Dazhi-Zhongxiao Intersection,120.689856,24.132363
52,忠明進化建成線,回程,16,建成大智路口,Jiancheng-Dazhi Intersection,120.689785,24.13158167
52,忠明進化建成線,回程,17,建成立德街口,Jiancheng-Lide Intersection,120.687682,24.130739
52,忠明進化建成線,回程,18,興大附農(臺中路),NCHU Affiliated Agricultural Senior High School(Taichung Road),120.684308,24.1274
52,忠明進化建成線,回程,19,南門仔,Nanmenzi,120.683491,24.124651
52,忠明進化建成線,回程,20,明德高中(臺中路),Ming-Der Senior High School(Taichung Road),120.684027,24.122754
52,忠明進化建成線,回程,21,明德高中(明德街),Mingder Senior High School(Mingde Street),120.684093,24.120864
52,忠明進化建成線,回程,22,忠明南國光路口,Zhongming S.-Guoguang Intersection,120.682089,24.119155
52,忠明進化建成線,回程,23,中興大學(國光路),Chung Hsing University(Guoguang Road),120.679524,24.121327
52,忠明進化建成線,回程,24,興大郵局,Xingda Post Office,120.679465,24.1228475
52,忠明進化建成線,回程,25,中興大學(興大路),Chung Hsing University(Xingda Road),120.675793,24.124141
52,忠明進化建成線,回程,26,興大美村路口,Xingda-Meicun Intersection,120.671908,24.122097
52,忠明進化建成線,回程,27,興大忠明南路口,Xingda-Zhongming S. Intersection,120.671915,24.119596
52,忠明進化建成線,回程,28,忠明南五權南路口,Zhongming S.-Wuquan S. Intersection,120.671087,24.119201
52,忠明進化建成線,回程,29,健康公園,Jiankang Park,120.668126,24.119192
52,忠明進化建成線,回程,30,忠明南美村南路口,Zhongmin S.-Meicun S. Intersection,120.666318,24.119194
52,忠明進化建成線,回程,31,和平里(忠明南路),Heping Village(Zhongming S. Road),120.660642,24.123515
52,忠明進化建成線,回程,32,忠明南三民西路口,Zhongming S.-Sanmin W. Intersection,120.658156,24.128508
52,忠明進化建成線,回程,33,崇倫國中(忠明南路),Chung-Lun Junior High School(Zhongming S. Road),120.6573933,24.13147317
52,忠明進化建成線,回程,34,大勇國小,Dayong Elementary School,120.6573898,24.1346965
52,忠明進化建成線,回程,35,忠明南五權西路口,Zhongming S.-Wuquan W. Intersection,120.657424,24.138549
52,忠明進化建成線,回程,36,土庫停車場(國美館),Tuku Parking Lot(National Taiwan Museum of Fine Arts),120.6573955,24.14112331
52,忠明進化建成線,回程,37,忠明南向上路口,Zhongming S.-Xiangshang Intersection,120.657421,24.146166
52,忠明進化建成線,回程,38,公益公園(忠明南路),Gongyi Park(Zhongming S. Road),120.657389,24.150344
52,忠明進化建成線,回程,39,忠明南精誠七街口,Zhongming S.-Jingcheng 7th Intersection,120.657764,24.153976
52,忠明進化建成線,回程,40,忠明臺灣大道口,Zhongming-Taiwan Boulevard Intersection,120.660739,24.158577
52,忠明進化建成線,回程,41,忠誠公園（忠明路）,Zhongcheng Park(Zhongming Road),120.662223,24.160687
52,忠明進化建成線,回程,42,忠明西屯路口,Zhongming-Xitun Intersection,120.664658,24.162368
52,忠明進化建成線,回程,43,忠明忠太東路口,Zhongming-Zhongtai E. Intersection,120.667562,24.162808
52,忠明進化建成線,回程,44,八0三醫院中清分院,Taichung Armed Forces general hospital(Zhongqing Department),120.672106,24.162806
52,忠明進化建成線,回程,45,大道公廟(進化北路),Dadaogong Temple(Jinhua N. Road),120.6761818,24.16307577
52,忠明進化建成線,回程,46,衛道新世界,Weidao Community,120.68026,24.162994
52,忠明進化建成線,回程,47,進化北永興街口,Jinhua N.-Yongxing Intersection,120.682856,24.162931
52,忠明進化建成線,回程,48,頂厝里,Dingcuo Village,120.686402,24.162943
52,忠明進化建成線,回程,49,稅務新村,Shuiwu Community,120.687698,24.162916
52,忠明進化建成線,回程,50,北屯市場,Beitun Market,120.689914,24.162901
52,忠明進化建成線,回程,51,北屯國小(北屯路),Beitun Elementary School(Beitun Road),120.693258,24.163112
52,忠明進化建成線,回程,52,卅張犁公園,Sazhangli Park,120.69705,24.164873
52,忠明進化建成線,回程,53,太原車站,Taiyuan Station,120.699918,24.163606
52副,忠明進化建成線,去程,1,太原車站,Taiyuan Station,120.699918,24.163606
52副,忠明進化建成線,去程,2,豬事圓滿公園,ZhushiYuanman Park,120.698899,24.155929
52副,忠明進化建成線,去程,3,興進國強街口,Xingjin-Guoqiang Intersection,120.696338,24.155642
52副,忠明進化建成線,去程,4,進化國瑞街口,Jinhua-Guorui Intersection,120.6944704,24.15691528
52副,忠明進化建成線,去程,5,進化天祥街口,Jinhua-Tianxiang Intersection,120.694476,24.160518
52副,忠明進化建成線,去程,6,北屯國小(進化北路),Beitun Elementary School(Jinhua N. Road),120.691943,24.162838
52副,忠明進化建成線,去程,7,北屯市場,Beitun Market,120.6898495,24.16304435
52副,忠明進化建成線,去程,8,稅務新村,Shuiwu Community,120.68767,24.16306837
52副,忠明進化建成線,去程,9,頂厝里,Dingcuo Village,120.686276,24.163087
52副,忠明進化建成線,去程,10,進化北永興街口,Jinhua N.-Yongxing Intersection,120.682599,24.163166
52副,忠明進化建成線,去程,11,衛道新世界,Weidao Community,120.6802386,24.1632153
52副,忠明進化建成線,去程,12,大道公廟(進化北路),Dadaogong Temple(Jinhua N. Road),120.6759975,24.16331611
52副,忠明進化建成線,去程,13,八0三醫院中清分院,Taichung Armed Forces general hospital(Zhongqing Department),120.672264,24.162982
52副,忠明進化建成線,去程,14,忠明忠太東路口,Zhongming-Zhongtai E. Intersection,120.667662,24.162985
52副,忠明進化建成線,去程,15,忠明西屯路口,Zhongming-Xitun Intersection,120.664534,24.16248
52副,忠明進化建成線,去程,16,忠明臺灣大道口,Zhongming-Taiwan Boulevard Intersection,120.660709,24.158802
52副,忠明進化建成線,去程,17,忠明南精誠七街口,Zhongming S.-Jingcheng 7th Intersection,120.657807,24.154368
52副,忠明進化建成線,去程,18,公益公園(忠明南路),Gongyi Park(Zhongming S. Road),120.657236,24.150307
52副,忠明進化建成線,去程,19,忠明南向上路口,Zhongming S.-Xiangshang Intersection,120.657239,24.146254
52副,忠明進化建成線,去程,20,土庫停車場(國美館),Tuku Parking Lot(National Taiwan Museum of Fine Arts),120.65724,24.14095779
52副,忠明進化建成線,去程,21,忠明南五權西路口,Zhongming S.-Wuquan W. Intersection,120.657218,24.137723
52副,忠明進化建成線,去程,22,大勇國小,Dayong Elementary School,120.657223,24.134843
52副,忠明進化建成線,去程,23,崇倫國中(忠明南路),Chung-Lun Junior High School(Zhongming S. Road),120.657225,24.132058
52副,忠明進化建成線,去程,24,忠明南三民西路口,Zhongming S.-Sanmin W. Intersection,120.658145,24.128227
52副,忠明進化建成線,去程,25,和平里(忠明南路),Heping Village(Zhongming S. Road),120.660535,24.123221
52副,忠明進化建成線,去程,26,忠明南平路口,Zhongming-Nanping Intersection,120.663027,24.12008
52副,忠明進化建成線,去程,27,忠明南美村南路口,Zhongmin S.-Meicun S. Intersection,120.666318,24.119032
52副,忠明進化建成線,去程,28,健康公園,Jiankang Park,120.668115,24.119025
52副,忠明進化建成線,去程,29,忠明南五權南路口,Zhongming S.-Wuquan S. Intersection,120.670872,24.119006
52副,忠明進化建成線,去程,30,興大美村路口,Xingda-Meicun Intersection,120.67201,24.122014
52副,忠明進化建成線,去程,31,中興大學(興大路),Chung Hsing University(Xingda Road),120.675855,24.123977
52副,忠明進化建成線,去程,32,興大郵局,Xingda Post Office,120.679214,24.123323
52副,忠明進化建成線,去程,33,中興大學(國光路),Chung Hsing University(Guoguang Road),120.679136,24.121301
52副,忠明進化建成線,去程,34,忠明南國光路口,Zhongming S.-Guoguang Intersection,120.682092,24.119008
52副,忠明進化建成線,去程,35,明德高中(明德街),Mingder Senior High School(Mingde Street),120.684246,24.120866
52副,忠明進化建成線,去程,36,南門仔,Nanmenzi,120.684232,24.12548
52副,忠明進化建成線,去程,37,興大附農(臺中路),NCHU Affiliated Agricultural Senior High School(Taichung Road),120.684601,24.12742
52副,忠明進化建成線,去程,38,興大附農(建成路),NCHU Affiliated agricultural Senior High School(Jiancheng Road),120.686164,24.129967
52副,忠明進化建成線,去程,39,建成立德街口,Jiancheng-Lide Intersection,120.687972,24.130675
52副,忠明進化建成線,去程,40,大智忠孝路口,Dazhi-Zhongxiao Intersection,120.689936,24.132359
52副,忠明進化建成線,去程,41,新時代購物中心,Mode Mall,120.688173,24.136001
52副,忠明進化建成線,去程,42,臺中車站(大智北路),Taichung Station(Dazhi North Road),120.687721,24.137466
52副,忠明進化建成線,去程,43,干城站,Gancheng Station,120.68598,24.140811
52副,忠明進化建成線,去程,44,立體停車場(自由路),Parking Tower(Zih You Road),120.687438,24.143043
52副,忠明進化建成線,去程,45,自由富台東街口,Ziyou-Futai E. Intersection,120.69049,24.142862
52副,忠明進化建成線,去程,46,自由進德路口,Ziyou-jinde Intersection,120.692161,24.142762
52副,忠明進化建成線,去程,47,中國醫東區分院,China Medical University Hospital East District Branch,120.694479,24.143184
52副,忠明進化建成線,去程,48,進德國小,Jinde Elementary School,120.694524,24.145432
52副,忠明進化建成線,去程,49,合作市場,Hezuo Market,120.694452,24.15008
52副,忠明進化建成線,去程,50,進化力行路口,Jinhua-Lixing Intersection,120.6944695,24.15243274
52副,忠明進化建成線,去程,51,進化興進路口,Jinhua-Xingjin Intersection,120.694503,24.154424
52副,忠明進化建成線,去程,52,興進國強街口,Xingjin-Guoqiang Intersection,120.696508,24.155244
52副,忠明進化建成線,去程,53,豬事圓滿公園,ZhushiYuanman Park,120.699113,24.156125
52副,忠明進化建成線,去程,54,太原車站,Taiyuan Station,120.700031,24.163386
52副,忠明進化建成線,回程,1,太原車站,Taiyuan Station,120.699918,24.163606
52副,忠明進化建成線,回程,2,豬事圓滿公園,ZhushiYuanman Park,120.698899,24.155929
52副,忠明進化建成線,回程,3,興進國強街口,Xingjin-Guoqiang Intersection,120.696338,24.155642
52副,忠明進化建成線,回程,4,進化興進路口,Jinhua-Xingjin Intersection,120.694224,24.154757
52副,忠明進化建成線,回程,5,進化力行路口,Jinhua-Lixing Intersection,120.694272,24.152505
52副,忠明進化建成線,回程,6,合作市場,Hezuo Market,120.694245,24.150298
52副,忠明進化建成線,回程,7,進德國小,Jinde Elementary School,120.694234,24.145452
52副,忠明進化建成線,回程,8,中國醫東區分院,China Medical University Hospital East District Branch,120.694273,24.143268
52副,忠明進化建成線,回程,9,自由進德路口,Ziyou-jinde Intersection,120.692153,24.142818
52副,忠明進化建成線,回程,10,自由富台東街口,Ziyou-Futai E. Intersection,120.690613,24.142908
52副,忠明進化建成線,回程,11,立體停車場(自由路),Parking Tower(Zih You Road),120.687317,24.143107
52副,忠明進化建成線,回程,12,干城站,Gancheng Station,120.685758,24.140969
52副,忠明進化建成線,回程,13,臺中車站(大智北路),Taichung Station(Dazhi North Road),120.687651,24.137282
52副,忠明進化建成線,回程,14,新時代購物中心,Mode Mall,120.6880391,24.13599088
52副,忠明進化建成線,回程,15,大智忠孝路口,Dazhi-Zhongxiao Intersection,120.689856,24.132363
52副,忠明進化建成線,回程,16,建成大智路口,Jiancheng-Dazhi Intersection,120.689785,24.13158167
52副,忠明進化建成線,回程,17,建成立德街口,Jiancheng-Lide Intersection,120.687682,24.130739
52副,忠明進化建成線,回程,18,興大附農(臺中路),NCHU Affiliated Agricultural Senior High School(Taichung Road),120.684308,24.1274
52副,忠明進化建成線,回程,19,南門仔,Nanmenzi,120.683491,24.124651
52副,忠明進化建成線,回程,20,明德高中(臺中路),Ming-Der Senior High School(Taichung Road),120.684027,24.122754
52副,忠明進化建成線,回程,21,明德高中(明德街),Mingder Senior High School(Mingde Street),120.684093,24.120864
52副,忠明進化建成線,回程,22,忠明南國光路口,Zhongming S.-Guoguang Intersection,120.682089,24.119155
52副,忠明進化建成線,回程,23,中興大學(國光路),Chung Hsing University(Guoguang Road),120.679524,24.121327
52副,忠明進化建成線,回程,24,興大郵局,Xingda Post Office,120.679465,24.1228475
52副,忠明進化建成線,回程,25,中興大學(興大路),Chung Hsing University(Xingda Road),120.675793,24.124141
52副,忠明進化建成線,回程,26,興大美村路口,Xingda-Meicun Intersection,120.671908,24.122097
52副,忠明進化建成線,回程,27,興大忠明南路口,Xingda-Zhongming S. Intersection,120.671915,24.119596
52副,忠明進化建成線,回程,28,忠明南五權南路口,Zhongming S.-Wuquan S. Intersection,120.671087,24.119201
52副,忠明進化建成線,回程,29,健康公園,Jiankang Park,120.668126,24.119192
52副,忠明進化建成線,回程,30,忠明南美村南路口,Zhongmin S.-Meicun S. Intersection,120.666318,24.119194
52副,忠明進化建成線,回程,31,和平里(忠明南路),Heping Village(Zhongming S. Road),120.660642,24.123515
52副,忠明進化建成線,回程,32,忠明南三民西路口,Zhongming S.-Sanmin W. Intersection,120.658156,24.128508
52副,忠明進化建成線,回程,33,崇倫國中(忠明南路),Chung-Lun Junior High School(Zhongming S. Road),120.6573933,24.13147317
52副,忠明進化建成線,回程,34,大勇國小,Dayong Elementary School,120.6573898,24.1346965
52副,忠明進化建成線,回程,35,忠明南五權西路口,Zhongming S.-Wuquan W. Intersection,120.657424,24.138549
52副,忠明進化建成線,回程,36,土庫停車場(國美館),Tuku Parking Lot(National Taiwan Museum of Fine Arts),120.6573955,24.14112331
52副,忠明進化建成線,回程,37,忠明南向上路口,Zhongming S.-Xiangshang Intersection,120.657421,24.146166
52副,忠明進化建成線,回程,38,公益公園(忠明南路),Gongyi Park(Zhongming S. Road),120.657389,24.150344
52副,忠明進化建成線,回程,39,忠明南精誠七街口,Zhongming S.-Jingcheng 7th Intersection,120.657764,24.153976
52副,忠明進化建成線,回程,40,忠明臺灣大道口,Zhongming-Taiwan Boulevard Intersection,120.660739,24.158577
52副,忠明進化建成線,回程,41,忠誠公園（忠明路）,Zhongcheng Park(Zhongming Road),120.662223,24.160687
52副,忠明進化建成線,回程,42,忠明西屯路口,Zhongming-Xitun Intersection,120.664658,24.162368
52副,忠明進化建成線,回程,43,忠明忠太東路口,Zhongming-Zhongtai E. Intersection,120.667562,24.162808
52副,忠明進化建成線,回程,44,八0三醫院中清分院,Taichung Armed Forces general hospital(Zhongqing Department),120.672106,24.162806
52副,忠明進化建成線,回程,45,大道公廟(進化北路),Dadaogong Temple(Jinhua N. Road),120.6761818,24.16307577
52副,忠明進化建成線,回程,46,衛道新世界,Weidao Community,120.68026,24.162994
52副,忠明進化建成線,回程,47,進化北永興街口,Jinhua N.-Yongxing Intersection,120.682856,24.162931
52副,忠明進化建成線,回程,48,頂厝里,Dingcuo Village,120.686402,24.162943
52副,忠明進化建成線,回程,49,稅務新村,Shuiwu Community,120.687698,24.162916
52副,忠明進化建成線,回程,50,北屯市場,Beitun Market,120.689914,24.162901
52副,忠明進化建成線,回程,51,進化天祥街口,Jinhua-Tianxiang Intersection,120.694122,24.160973
52副,忠明進化建成線,回程,52,進化國瑞街口,Jinhua-Guorui Intersection,120.694213,24.157052
52副,忠明進化建成線,回程,53,興進國強街口,Xingjin-Guoqiang Intersection,120.696508,24.155244
52副,忠明進化建成線,回程,54,豬事圓滿公園,ZhushiYuanman Park,120.699113,24.156125
52副,忠明進化建成線,回程,55,太原車站,Taiyuan Station,120.700031,24.163386
54,下港尾 - 樹仔腳,去程,1,下港尾,Xiagangwei,120.658227,24.19526
54,下港尾 - 樹仔腳,去程,2,中清同榮路口,Zhongqing-Tongrong Intersection,120.659316,24.1935
54,下港尾 - 樹仔腳,去程,3,貿易三村,Maoyi 3rd Village,120.660025,24.192338
54,下港尾 - 樹仔腳,去程,4,后庄國宅,Houzhuang Civil House,120.661259,24.190317
54,下港尾 - 樹仔腳,去程,5,中清后庄路口,Zhongqing-Houzhuang Intersection,120.662576,24.188006
54,下港尾 - 樹仔腳,去程,6,后庄仔,Houzhuangzi,120.663362,24.186642
54,下港尾 - 樹仔腳,去程,7,頂陳平,Dingchenping,120.664532,24.184606
54,下港尾 - 樹仔腳,去程,8,陳平,Chenping,120.666044,24.181861
54,下港尾 - 樹仔腳,去程,9,全民醫院,Quanmin Hospital,120.666817,24.180442
54,下港尾 - 樹仔腳,去程,10,大德國中,Dade Junior High School,120.667562,24.179443
54,下港尾 - 樹仔腳,去程,11,水湳市場(中清路),Shuinan Market(Zhongqing Road),120.669107,24.177432
54,下港尾 - 樹仔腳,去程,12,水湳,Shuinan,120.67003,24.176233
54,下港尾 - 樹仔腳,去程,13,下水湳,Xiashuinan,120.670609,24.175465
54,下港尾 - 樹仔腳,去程,14,捷運文心中清站(文心路),MRT Wenxin Zhongqing Station(Wenxin Road),120.670835,24.17384
54,下港尾 - 樹仔腳,去程,15,文心陝西路口,Wenxin-Shanxi Intersection,120.6682083,24.17340678
54,下港尾 - 樹仔腳,去程,16,臺灣日報,Taiwan Daily News,120.666504,24.17314639
54,下港尾 - 樹仔腳,去程,17,重慶國小,Chongqing Elementary School,120.6636326,24.17249518
54,下港尾 - 樹仔腳,去程,18,文心河南路口,Wenxin-Henan Intersection,120.6618912,24.1719759
54,下港尾 - 樹仔腳,去程,19,河南長安路口,Henan-Changan Intersection,120.660605,24.173076
54,下港尾 - 樹仔腳,去程,20,河南福上巷口,Henan-Fushan Intersection,120.659779,24.175235
54,下港尾 - 樹仔腳,去程,21,家扶發展學園,Child Development Center,120.657853,24.176253
54,下港尾 - 樹仔腳,去程,22,河南停車場,Henan Parking Lot,120.651174,24.176086
54,下港尾 - 樹仔腳,去程,23,河南福星路口,Henan-Fuxing Intersection,120.64839,24.174608
54,下港尾 - 樹仔腳,去程,24,福星停車場,Fuxing Parking Lot,120.645865,24.175711
54,下港尾 - 樹仔腳,去程,25,逢甲大學(福星路),Feng Chia University(Fuxing Road),120.645134,24.179341
54,下港尾 - 樹仔腳,去程,26,福星西安街口,Fuxing-Xian Intersection,120.645053,24.181555
54,下港尾 - 樹仔腳,去程,27,漢翔公司(星享道),AIDC(In Sky Hotel ),120.644771,24.184097
54,下港尾 - 樹仔腳,去程,28,僑光科技大學,Overseas Chinese University,120.644421,24.186585
54,下港尾 - 樹仔腳,去程,29,福星北西苑路口,Fuxing N. -Xiyuan Intersection,120.641945,24.187294
54,下港尾 - 樹仔腳,去程,30,西苑高中,Shi Yuan Senior High School,120.640182,24.186325
54,下港尾 - 樹仔腳,去程,31,西屯派出所,Xitun Police Station,120.638562,24.181885
54,下港尾 - 樹仔腳,去程,32,黎明福科路口,Liming-Fuke Intersection,120.637444,24.179512
54,下港尾 - 樹仔腳,去程,33,西屯郵局,Xitun Post Office,120.637396,24.176519
54,下港尾 - 樹仔腳,去程,34,朝馬(黎明路),Chaoma(Liming Road),120.6369301,24.17184509
54,下港尾 - 樹仔腳,去程,35,黎明環河路口,Liming-Huanhe Intersection,120.635373,24.167443
54,下港尾 - 樹仔腳,去程,36,西屯區公所,Xitun District Office,120.634628,24.165094
54,下港尾 - 樹仔腳,去程,37,黎明龍門路口,Liming-Longmen Intersection,120.633866,24.16273
54,下港尾 - 樹仔腳,去程,38,黎明市政路口,Liming-Shizheng Intersection,120.6338137,24.16030295
54,下港尾 - 樹仔腳,去程,39,黎明國小,Li-Ming Elementary School,120.6341692,24.1573316
54,下港尾 - 樹仔腳,去程,40,黎明新村(黎明路),Liming Community(Liming Road),120.634606,24.154716
54,下港尾 - 樹仔腳,去程,41,黎明大業路口,Liming-Daye Intersection,120.634937,24.152876
54,下港尾 - 樹仔腳,去程,42,黎明公益路口,Liming-Gongyi Intersection,120.635376,24.150354
54,下港尾 - 樹仔腳,去程,43,三厝里,Sancuo Village,120.635797,24.14798
54,下港尾 - 樹仔腳,去程,44,黎明向上路口,Liming-Xiangshang Intersection,120.636406,24.146176
54,下港尾 - 樹仔腳,去程,45,黎明五權西路口,Liming-Wuquan W. Intersection,120.63731,24.143679
54,下港尾 - 樹仔腳,去程,46,黎明南屯路口,Liming-Nantun Intersection,120.638383,24.14028
54,下港尾 - 樹仔腳,去程,47,南屯國小,Nantun Elementary School,120.637079,24.136706
54,下港尾 - 樹仔腳,去程,48,黎明永春東路口,Liming-Yongchun E. Intersection,120.636521,24.135213
54,下港尾 - 樹仔腳,去程,49,黎明文心南五路口,Liming-Wenxin S. 5th Intersection,120.6356083,24.132885
54,下港尾 - 樹仔腳,去程,50,下豐樂里,Xia Fengle Village,120.634644,24.130474
54,下港尾 - 樹仔腳,去程,51,鎮平里,Zhenping Village,120.633316,24.128251
54,下港尾 - 樹仔腳,去程,52,鎮平環中路口,Zhenping-Huanzhong Intersection,120.63139,24.125062
54,下港尾 - 樹仔腳,去程,53,鎮平國小,Zhangping Elementary School,120.62899,24.12115333
54,下港尾 - 樹仔腳,去程,54,中和(黎明路),Zhonghe(Liming Road),120.627683,24.118364
54,下港尾 - 樹仔腳,去程,55,昌興新村,Changxing Community,120.626659,24.115904
54,下港尾 - 樹仔腳,去程,56,中和新村,Zhonghe Community,120.626149,24.114469
54,下港尾 - 樹仔腳,去程,57,烏日啤酒廠,Wuri Brewery,120.625959,24.11205
54,下港尾 - 樹仔腳,去程,58,烏日區公所(光日路),Wuri District Office(Guangri Road),120.624701,24.105002
54,下港尾 - 樹仔腳,去程,59,公園光日路口,Gongyuan-Guangri Intersection,120.624768,24.10237
54,下港尾 - 樹仔腳,去程,60,公園五光路口,Gongyuan-Wuguang Intersection,120.626678,24.101846
54,下港尾 - 樹仔腳,去程,61,五光公園三街口,Wuguang-Gongyuan 3rd Intersection,120.62809,24.102944
54,下港尾 - 樹仔腳,去程,62,新興五光路口,Xinxing-Wuguang Intersection,120.627866,24.104086
54,下港尾 - 樹仔腳,去程,63,烏日橋,Wuri Bridge,120.633266,24.105769
54,下港尾 - 樹仔腳,去程,64,明道中學,Mingdao High School,120.635692,24.106926
54,下港尾 - 樹仔腳,去程,65,明道花園城,MingDao Garden City,120.63845,24.10781
54,下港尾 - 樹仔腳,去程,66,九張犁,Jiuzhangli,120.641424,24.108728
54,下港尾 - 樹仔腳,去程,67,樹仔腳,Shuzijiao,120.646008,24.110146
54,下港尾 - 樹仔腳,回程,1,樹仔腳,Shuzijiao,120.644989,24.110021
54,下港尾 - 樹仔腳,回程,2,九張犁,Jiuzhangli,120.641379,24.108919
54,下港尾 - 樹仔腳,回程,3,明道花園城,MingDao Garden City,120.63838,24.107969
54,下港尾 - 樹仔腳,回程,4,明道中學,Mingdao High School,120.63657,24.107394
54,下港尾 - 樹仔腳,回程,5,烏日橋,Wuri Bridge,120.633335,24.106057
54,下港尾 - 樹仔腳,回程,6,五光新興路口,Wuguang-Xinxing Intersection,120.627555,24.1036
54,下港尾 - 樹仔腳,回程,7,五光公園三街口,Wuguang-Gongyuan 3rd Intersection,120.628209,24.102524
54,下港尾 - 樹仔腳,回程,8,公園五光路口,Gongyuan-Wuguang Intersection,120.626659,24.1019
54,下港尾 - 樹仔腳,回程,9,公園光日路口,Gongyuan-Guangri Intersection,120.624854,24.102426
54,下港尾 - 樹仔腳,回程,10,烏日區公所(光日路),Wuri District Office(Guangri Road),120.624773,24.105134
54,下港尾 - 樹仔腳,回程,11,烏日啤酒廠,Wuri Brewery,120.626053,24.1120762
54,下港尾 - 樹仔腳,回程,12,中和新村,Zhonghe Community,120.6260833,24.11376333
54,下港尾 - 樹仔腳,回程,13,昌興新村,Changxing Community,120.6269205,24.11639288
54,下港尾 - 樹仔腳,回程,14,中和(黎明路),Zhonghe(Liming Road),120.6277596,24.11834219
54,下港尾 - 樹仔腳,回程,15,鎮平國小,Zhangping Elementary School,120.629075,24.12112458
54,下港尾 - 樹仔腳,回程,16,鎮平環中路口,Zhenping-Huanzhong Intersection,120.631573,24.125204
54,下港尾 - 樹仔腳,回程,17,鎮平里,Zhenping Village,120.633633,24.128663
54,下港尾 - 樹仔腳,回程,18,下豐樂里,Xia Fengle Village,120.6348246,24.13071833
54,下港尾 - 樹仔腳,回程,19,黎明文心南五路口,Liming-Wenxin S. 5th Intersection,120.6356895,24.13288125
54,下港尾 - 樹仔腳,回程,20,黎明永春東路口,Liming-Yongchun E. Intersection,120.6365162,24.13506748
54,下港尾 - 樹仔腳,回程,21,南屯國小,Nantun Elementary School,120.6371266,24.13662612
54,下港尾 - 樹仔腳,回程,22,黎明南屯路口,Liming-Nantun Intersection,120.638444,24.140148
54,下港尾 - 樹仔腳,回程,23,黎明五權西路口,Liming-Wuquan W. Intersection,120.637339,24.143846
54,下港尾 - 樹仔腳,回程,24,黎明向上路口,Liming-Xiangshang Intersection,120.6365,24.14612
54,下港尾 - 樹仔腳,回程,25,三厝里,Sancuo Village,120.63588,24.148004
54,下港尾 - 樹仔腳,回程,26,黎明公益路口,Liming-Gongyi Intersection,120.635419,24.150447
54,下港尾 - 樹仔腳,回程,27,黎明大業路口,Liming-Daye Intersection,120.634987,24.152958
54,下港尾 - 樹仔腳,回程,28,黎明新村(黎明路),Liming Community(Liming Road),120.634668,24.154722
54,下港尾 - 樹仔腳,回程,29,黎明國小,Li-Ming Elementary School,120.634306,24.157077
54,下港尾 - 樹仔腳,回程,30,黎明市政路口,Liming-Shizheng Intersection,120.6338223,24.16064785
54,下港尾 - 樹仔腳,回程,31,黎明龍門路口,Liming-Longmen Intersection,120.634062,24.1631
54,下港尾 - 樹仔腳,回程,32,西屯區公所,Xitun District Office,120.634735,24.165087
54,下港尾 - 樹仔腳,回程,33,黎明環河路口,Liming-Huanhe Intersection,120.635502,24.167634
54,下港尾 - 樹仔腳,回程,34,朝馬(黎明路),Chaoma(Liming Road),120.636957,24.171787
54,下港尾 - 樹仔腳,回程,35,西屯郵局,Xitun Post Office,120.6374769,24.17655592
54,下港尾 - 樹仔腳,回程,36,黎明福科路口,Liming-Fuke Intersection,120.637569,24.179717
54,下港尾 - 樹仔腳,回程,37,西屯派出所,Xitun Police Station,120.638694,24.181782
54,下港尾 - 樹仔腳,回程,38,西苑高中,Shi Yuan Senior High School,120.6402999,24.18621775
54,下港尾 - 樹仔腳,回程,39,福星北西苑路口,Fuxing N. -Xiyuan Intersection,120.641873,24.187199
54,下港尾 - 樹仔腳,回程,40,僑光科技大學,Overseas Chinese University,120.644254,24.186928
54,下港尾 - 樹仔腳,回程,41,漢翔公司(星享道),AIDC(In Sky Hotel ),120.644647,24.183945
54,下港尾 - 樹仔腳,回程,42,福星西安街口,Fuxing-Xian Intersection,120.644946,24.181538
54,下港尾 - 樹仔腳,回程,43,逢甲大學(福星路),Feng Chia University(Fuxing Road),120.64497,24.179275
54,下港尾 - 樹仔腳,回程,44,福星停車場,Fuxing Parking Lot,120.646018,24.175381
54,下港尾 - 樹仔腳,回程,45,河南福星路口,Henan-Fuxing Intersection,120.649415,24.175132
54,下港尾 - 樹仔腳,回程,46,河南停車場,Henan Parking Lot,120.65281,24.176067
54,下港尾 - 樹仔腳,回程,47,家扶發展學園,Child Development Center,120.656426,24.176101
54,下港尾 - 樹仔腳,回程,48,河南福上巷口,Henan-Fushan Intersection,120.659634,24.175142
54,下港尾 - 樹仔腳,回程,49,河南長安路口,Henan-Changan Intersection,120.660551,24.172724
54,下港尾 - 樹仔腳,回程,50,文心河南路口,Wenxin-Henan Intersection,120.661305,24.171613
54,下港尾 - 樹仔腳,回程,51,重慶國小,Chongqing Elementary School,120.66361,24.172246
54,下港尾 - 樹仔腳,回程,52,臺灣日報,Taiwan Daily News,120.666001,24.172783
54,下港尾 - 樹仔腳,回程,53,文心陝西路口,Wenxin-Shanxi Intersection,120.668504,24.17326685
54,下港尾 - 樹仔腳,回程,54,下水湳,Xiashuinan,120.670921,24.175333
54,下港尾 - 樹仔腳,回程,55,水湳,Shuinan,120.670137,24.176443
