line_name_h,lon,lat
京阪交野線,135.6679 ,34.7940 
京阪鴨東線,135.7722 ,35.0231 
京阪鋼索線,135.6997 ,34.8833 
京阪石山坂本線,135.8737 ,35.0214 
京阪京津線,135.8352 ,35.0056 
京阪中之島線,135.5004 ,34.6934 
阪急神戸本線,135.3536 ,34.7358 
阪急宝塚本線,135.4343 ,34.7861 
阪急京都本線,135.6107 ,34.8605 
阪急今津線,135.3547 ,34.7707 
阪急甲陽線,135.3288 ,34.7528 
阪急伊丹線,135.4146 ,34.7701 
阪急箕面線,135.4602 ,34.8230 
阪急千里線,135.5134 ,34.7709 
阪急嵐山線,135.6911 ,34.9965 
阪神本線,135.3388 ,34.7271 
阪神なんば線,135.4542 ,34.6944 
阪神武庫川線,135.3792 ,34.7122 
西鉄天神大牟田線,130.4695 ,33.3374 
西鉄太宰府線,130.5255 ,33.5108 
西鉄甘木線,130.6000 ,33.3746 
西鉄貝塚線,130.4465 ,33.7120 
札幌市営地下鉄東西線,141.3773 ,43.0565 
札幌市営地下鉄南北線,141.3433 ,43.0645 
札幌市営地下鉄東豊線,141.3731 ,43.0720 
札幌市電 一条・山鼻軌道線,141.3442 ,43.0468 
函館市電２系統,140.7474 ,41.7805 
函館市電５系統,140.7437 ,41.7796 
北海道ちほく高原鉄道ふるさと銀河線,143.6400 ,43.4229 
道南いさりび鉄道線,140.5859 ,41.7293 
津軽鉄道線,140.4475 ,40.8919 
弘南鉄道弘南線,140.5487 ,40.6118 
弘南鉄道大鰐線,140.5091 ,40.5602 
十和田観光電鉄,141.2927 ,40.6434 
いわて銀河鉄道線,141.1881 ,40.0497 
青い森鉄道線,141.0522 ,40.6632 
三陸鉄道北リアス線,141.8598 ,39.9134 
三陸鉄道リアス線,141.8071 ,39.6823 
秋田内陸縦貫鉄道秋田内陸線,140.4689 ,39.9176 
由利高原鉄道鳥海山ろく線,140.0944 ,39.3150 
山形鉄道フラワー長井線,140.0824 ,38.1261 
くりはら田園鉄道線,141.0333 ,38.8157 
阿武隈急行線,140.6629 ,37.9192 
仙台市営地下鉄南北線,140.8800 ,38.2763 
仙台市営地下鉄東西線,140.8882 ,38.2611 
福島交通飯坂線,140.4532 ,37.7952 
会津鉄道会津線,139.8480 ,37.2868 
仙台空港鉄道仙台空港線,140.9058 ,38.1618 
都営大江戸線,139.7137 ,35.7075 
都営浅草線,139.7586 ,35.6623 
都営三田線,139.7032 ,35.7188 
都営新宿線,139.8094 ,35.6892 
都営都電荒川線,139.7189 ,35.7118 
日暮里・舎人ライナー,139.7695 ,35.7818 
秩父鉄道秩父本線,139.2068 ,36.1010 
埼玉高速鉄道線,139.7270 ,35.8423 
いすみ鉄道いすみ線,140.2913 ,35.2674 
首都圏新都市鉄道つくばエクスプレス,139.9375 ,35.9058 
みなとみらい21線,139.6361 ,35.4557 
ゆりかもめ東京臨海新交通臨海線,139.7749 ,35.6429 
わたらせ渓谷鐵道わたらせ渓谷線,139.3508 ,36.5332 
山万ユーカリが丘線,140.1530 ,35.7309 
伊豆箱根鉄道大雄山線,139.1309 ,35.2894 
ひたちなか海浜鉄道湊線,140.5730 ,36.3715 
横浜市高速鉄道1号線・3号線,139.5515 ,35.4878 
横浜市高速鉄道4号線,139.5869 ,35.5472 
横浜新都市交通金沢シーサイドライン,139.6311 ,35.3622 
関東鉄道常総線,139.9901 ,36.1199 
関東鉄道竜ヶ崎線,140.1573 ,35.9189 
江ノ島電鉄線,139.5124 ,35.3261 
埼玉新都市交通伊奈線,139.6163 ,35.9627 
鹿島鉄道線,140.3911 ,36.1590 
鹿島臨海鉄道大洗鹿島線,140.5428 ,36.1873 
芝山鉄道線,140.3924 ,35.7636 
小湊鉄道線,140.1274 ,35.3958 
湘南モノレール,139.5102 ,35.3322 
上信電鉄,138.9156 ,36.2662 
