名稱,市町村名,緯度,經度,施設URL
東京臨海高速鉄道 新木場駅,江東区,35.6461 ,139.8271 ,https://www.twr.co.jp/route/tabid/106/Default.aspx
東京メトロ 辰巳駅,江東区,35.6456 ,139.8105 ,https://www.tokyometro.jp/station/tatsumi/
東京メトロ 赤坂駅,港区,35.6723 ,139.7364 ,https://www.tokyometro.jp/station/akasaka/
東京メトロ 六本木駅,港区,35.6626 ,139.7309 ,https://www.tokyometro.jp/station/roppongi/
東京メトロ 赤坂見附駅,港区,35.6773 ,139.7370 ,https://www.tokyometro.jp/station/akasaka-mitsuke/
東京メトロ 六本木一丁目駅,港区,35.6655 ,139.7390 ,https://www.tokyometro.jp/station/roppongi-itchome/
東京メトロ 池袋駅,豊島区,35.7303 ,139.7112 ,https://www.tokyometro.jp/station/ikebukuro/
西武鉄道　池袋駅,豊島区,35.7289 ,139.7114 ,https://www.seiburailway.jp/
東武 池袋駅,豊島区,35.7303 ,139.7106 ,https://railway.tobu.co.jp/guide/station/info/7105.html
東京メトロ 築地駅,中央区,35.6681 ,139.7726 ,https://www.tokyometro.jp/station/tsukiji/
京急 品川駅,港区,35.6282 ,139.7381 ,https://www.keikyu.co.jp/company/csr/barrierfree.html
ゆりかもめ 新橋駅,港区,35.6656 ,139.7594 ,https://www.yurikamome.co.jp/station-timetable/u-01.html
東京モノレール 浜松町駅,港区,35.6555 ,139.7567 ,http://www.tokyo-monorail.co.jp/
京王 吉祥寺駅,武蔵野市,35.7027 ,139.5798 ,https://www.keio.co.jp/train/station/index.html
東京メトロ 押上駅,墨田区,35.7006 ,139.8134 ,https://www.tokyometro.jp/station/oshiage/
高尾登山電鉄 清滝駅,八王子市,35.6311 ,139.2668 ,https://www.takaotozan.co.jp/
高尾登山電鉄 高尾山駅,八王子市,35.6311 ,139.2561 ,https://www.takaotozan.co.jp/
京王 高尾山口駅,八王子市,35.6322 ,139.2699 ,https://www.keio.co.jp/train/station/index.html
京急蒲田駅,大田区,35.5611 ,139.7240 ,https://www.keikyu.co.jp/company/csr/barrierfree.html
羽田空港第１ターミナル,大田区,35.5488 ,139.7840 ,https://tokyo-haneda.com/
羽田空港第２ターミナル,大田区,35.5523 ,139.7878 ,https://tokyo-haneda.com/
羽田空港第３ターミナル,大田区,35.5447 ,139.7691 ,https://tokyo-haneda.com/
御岳登山鉄道 滝本駅,青梅市,35.7961 ,139.1613 ,https://www.mitaketozan.co.jp/
御岳登山鉄道 御岳山駅,青梅市,35.7896 ,139.1535 ,https://www.mitaketozan.co.jp/
東京メトロ 九段下駅,千代田区,35.6962 ,139.7512 ,https://www.tokyometro.jp/station/kudanshita/
小田急 成城学園前駅,世田谷区,35.6401 ,139.5990 ,https://www.odakyu.jp/
京王 飛田給駅,調布市,35.6602 ,139.5233 ,https://www.keio.co.jp/train/station/index.html
西武鉄道 多磨駅,府中市,35.6772 ,139.5172 ,https://www.seiburailway.jp/
東京モノレール 大井競馬場前駅,品川区,35.5956 ,139.7470 ,http://www.tokyo-monorail.co.jp/
都営地下鉄浅草線 西馬込,大田区,35.5871 ,139.7061 ,https://www.kotsu.metro.tokyo.jp/subway/stations/nishi-magome.html
都営地下鉄浅草線 馬込,大田区,35.5968 ,139.7119 ,https://www.kotsu.metro.tokyo.jp/subway/stations/magome.html
都営地下鉄浅草線 中延,品川区,35.6053 ,139.7136 ,https://www.kotsu.metro.tokyo.jp/subway/stations/nakanobu.html
都営地下鉄浅草線 戸越,品川区,35.6144 ,139.7163 ,https://www.kotsu.metro.tokyo.jp/subway/stations/togoshi.html
都営地下鉄浅草線 五反田,品川区,35.6269 ,139.7240 ,https://www.kotsu.metro.tokyo.jp/subway/stations/gotanda.html
都営地下鉄浅草線 高輪台,港区,35.6318 ,139.7304 ,https://www.kotsu.metro.tokyo.jp/subway/stations/takanawadai.html
都営地下鉄浅草線 泉岳寺,港区,35.6387 ,139.7400 ,https://www.kotsu.metro.tokyo.jp/subway/stations/sengakuji.html
都営地下鉄浅草線 三田,港区,35.6467 ,139.7469 ,https://www.kotsu.metro.tokyo.jp/subway/stations/mita.html
都営地下鉄浅草線 大門,港区,35.6569 ,139.7547 ,https://www.kotsu.metro.tokyo.jp/subway/stations/daimon.html
